UTC,Light,°C out,°C in,hPa,RH Air,RH Soil,IAQ
01.01.1970 00:00:53,158,"22,0","21,8",981,0,0,0
01.01.1970 00:00:54,158,"22,0","21,8",981,0,0,0
01.01.1970 00:00:55,158,"22,0","22,1",981,0,0,0
01.01.1970 00:00:56,158,"22,0","23,3",979,0,0,0
01.01.1970 00:00:57,158,"22,0","23,6",979,0,0,0
01.01.1970 00:00:58,158,"22,0","23,9",978,0,0,0
01.01.1970 00:00:59,158,"22,0","24,1",978,0,0,0
01.01.1970 00:01:00,158,"22,0","23,9",978,0,0,0
01.01.1970 00:01:01,158,"22,0","23,5",979,0,0,0
01.01.1970 00:01:02,158,"22,0","23,4",979,0,0,0
01.01.1970 00:01:03,158,"22,0","23,3",979,0,0,0
01.01.1970 00:01:04,158,"22,0","23,2",979,0,0,0
01.01.1970 00:01:05,158,"22,0","23,1",979,0,0,0
01.01.1970 00:01:06,158,"22,0","23,1",979,0,0,0
01.01.1970 00:01:07,158,"22,0","23,0",980,0,0,0
01.01.1970 00:01:08,158,"22,0","23,0",980,0,0,0
01.01.1970 00:01:09,158,"22,0","22,9",980,0,0,0
01.01.1970 00:01:10,158,"22,0","22,9",980,0,0,0
01.01.1970 00:01:11,158,"22,0","22,9",980,0,0,0
01.01.1970 00:01:12,158,"22,0","22,8",980,0,0,0
01.01.1970 00:01:13,158,"22,0","22,8",980,0,0,0
01.01.1970 00:01:14,158,"22,0","22,8",980,0,0,0
01.01.1970 00:01:15,158,"22,0","22,7",980,0,0,0
01.01.1970 00:01:16,158,"22,0","22,7",980,0,0,0
01.01.1970 00:01:17,158,"22,0","22,7",980,0,0,0
01.01.1970 00:01:18,158,"22,0","22,6",980,0,0,0
01.01.1970 00:01:19,158,"22,0","22,6",980,0,0,0
01.01.1970 00:01:20,158,"22,0","22,6",980,0,0,0
01.01.1970 00:01:21,158,"22,0","22,6",980,0,0,0
01.01.1970 00:01:22,158,"22,0","22,6",980,0,0,0
01.01.1970 00:01:23,158,"22,0","22,5",980,0,0,0
01.01.1970 00:01:24,158,"22,0","22,5",980,0,0,0
01.01.1970 00:01:25,158,"22,0","22,5",980,0,0,0
01.01.1970 00:01:26,158,"22,0","22,5",980,0,0,0
01.01.1970 00:01:27,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:28,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:29,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:30,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:31,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:32,158,"22,0","22,4",980,0,0,0
01.01.1970 00:01:33,158,"22,0","22,3",980,0,0,0
01.01.1970 00:01:34,158,"22,0","22,3",981,0,0,0
01.01.1970 00:01:35,158,"22,0","22,3",980,0,0,0
01.01.1970 00:01:36,158,"22,0","22,3",981,0,0,0
01.01.1970 00:01:37,158,"22,0","22,3",981,0,0,0
